characteristic,content
C10,that is a x improvement in electric vehicle productivity or about miles per year mindblowing combination could be the nextgen horse and carriage from waste to wheels
C10,lb of food scraps can fuel mile of electric transport in todays budgeting dollars work is valued at in transportation and disposal and mtcoe of emissions
C10,impact bioenergy is the core technology provider designer builder and supplier of the horse digester
C10,csb is the service end of a strategic partnering program that helps remove barriers to market and deploy transformational technology in different locations
C10,it is a partnering program between organizations such food banks schools restaurants breweries distilleries markets urban farmers gardeners and other forprofit or nonprofit ventures
C9,biocycling is the recycling of organic materials
C10,in the context of our project term describes the process of taking organic wastes such food scraps and converting it into liquid fertilizer and energy that can once be used directly the farm at these food resources were originally produced
C2,we like to say
C2,farm to fork to fertilizer and fuel and back to the farm again
C10,why the horse why not compost
C10,composting is awesome but many food wastes are too wet and dense to compost easily
C10,it is far better to digest the food wastes conserves all the nitrogen and water harvest the energy and make liquid fertilizer
C10,the liquid can be used to irrigate compost and make the compost even better
C10,the digester biogas production capture reduces greenhouse gas emissions and can be used gas or used to make light heat electricity or cng vehicle fuel
C10,the horse requires about hours of work per week that involves loading feed mixing the digester contents checking readings and drawing off the liquid needed
C6,future designs will increased automation capabilities to reduce the daily maintenance requirement
C10,a horse deployment creates local jobs and operating personnel will be hired at each project location
C9,the horse mimics processes that occur in digestion system of a ruminant like a cow
C10,horse stands highsolids organicwaste recycling system with electric output
C1,imagine a world where you do not to export your trash and you do not to import your food
C1,imagine a truly organic cycle where uneaten food returns energy and fertalizer to the earth
C1,imagine saving money
C1,imagine food and energy security everyone
C2,hi my name is jan ellen i am the founder of impact bioenergy
C2,we invented a beautiful piece of machinery that is both portable and simple
C2,over the past year we quietly working the vision and design of the horse
C10,a compact clean and awesome looking machine to upcycle organic waste at its source
C10,the horse consumes tonnes a year of food waste paper products fats beverages and grass clippings
C10,it produces gallons a year of fertilizer and megawatt hours of raw energy
C10,it makes megawatt hours of electricity that is a total of million btus of renewable energy
C2,we design the horse to serve about people or less
C10,it is about the size of a car and it cost about what a car would cost
C10,is a way individuals to own their own energy in food cycles
C10,it can be installed at a restaurant at a grocery store casino
C10,it is mobile they can go to farmers markets and it can ideally be put at schools in campuses educational opportunities
C2,we do not a big venture capital partner to industrialize technology
C2,we want bionenergy to propergate at the grassroots level zealots leaders and early adopters to help bring project to reality
C2,we thinkers doers zealots leaders and early adopters to help bring project to reality
C6,our crowd funding goal is to raise enough money to at least two horses the ground and running in the seattle area
C7,check out the pledge levels the web page they are progressive starting with simple pledges going all the way up to owning a horse of your own
C6,every dollar raised with project will go to building a network of off grid micro power generators fueled by food scraps
C7,thanks listening
C2,we want you to be part of the horse project
C10,logo
C10,logo
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C5,partnership
C2,story
C10,feature
C10,feature
C5,community
C2,story
C8,merchandise
C2,story
C2,story
C2,story
C2,story
C2,story
C2,story
C2,team
C1,if your phone is too pretty a case you come to the right place
C2,hello my name is nathan
C2,i am here because i am tired of having a mini heart attack every time my phone slips out of my hand but i cannot stand the thought of covering my beautiful phone with a case
C2,that is why i created strip a subtle but effective antislip accessory beautiful phones
C10,what is strip and why is it great
C10,strip is a pair of small grippy silicone pads that stick to the sides of your phone
C10,it is simple that strip gives your beautiful phone traction you do not to worry about dropping it all the time
C10,strip may look subtle but it is surprisingly effective is what strip can do the slipperiest phone in the universe the iphone
C10,you can see strips awesome gripping power let us you hold your naked phone with confidence
C10,with strip you can text take calls and even take pictures safely with one hand
C10,yes strip gives your phone some impressive traction but do not worry strip is only grippy when you it to be
C10,your phone will still slide in and out of your pockets with ease
C10,strip does not look like trash
C10,yes you read that right strip looks and feels like it actually belongs premium phones
C10,strip a samsung galaxy sstrip a samsung galaxy s
C10,strip a samsung galaxy note strip a samsung galaxy note
C10,strip iphone strip iphone
C10,strip htc one mstrip htc one m
C10,strip a samsung galaxy essexstrip a samsung galaxy essex
C10,strip a dial sstrip a dial s
C10,strip a piece of pure awesomestrip a piece of pure awesome
C10,strip a samsung galaxy sstrip a samsung galaxy s
C10,strip is a simple safe and classy way to let your slippery phone go naked the way it was meant to be
C10,will strip work my phone
C10,probably strip works about any device with flat or rounded sides including ipods
C6,my next project will be a version of strip ear buds
C10,here is a partial list of strip compatible devices
C10,iphone plus
C10,galaxy s note note
C10,htc one m m a
C10,nexus x p
C10,xperia z z compact
C10,blackberry passport
C10,ipod touch nano
C7,if you do not see your device listed here send me a message and i will check it out you
C10,how to strip your phone
C10,installing strip your phone is easy
C10,clean the edges of your phone to remove any oils or dirt
C10,peel a strip from its backing and gently position it anywhere you like you can gently pull it up and reposition it if you are not happy with your attempt
C10,apply firm pressure to the entire strip pad
C10,that is it repeat the process the other edge of your phone and you are good to go
C7,why strip needs your help
C2,strip will be made in two major steps
C2,a roll of super thin adhesivebacked premium silicone sheet will be manufactured to my exact specifications
C2,that roll of material will then be sliced up and diecut into the shape that you see in the pictures above
C2,i am confident that you are going to love strip much i do and i am fully committed to making strip happen
C2,to that end i already personally funded to purchase of the raw material
C6,the last remaining expense is the diecut tooling that will enable me to produce strip economically a larger scale up to point i cutting my strips by hand with a hobby knife
C7,and that is why strip needs your help
C6,with your generous support campaign will fund the production tooling that will bring strip to your phone and to the world
C6,your part in epic adventure you will earn bragging rights the person your block to experience the joy that is strip
C6,and later after strip has spread far and wide you will see people confidently holding their beautiful phones the subway the bus in class at work
C8,strip rewards explained
C8,strips all of the reward tiers include strips
C10,strips are packaged in pairs
C10,one pair is enough one phone
C8,example the reward gives you pairs is enough strips phones
C8,addon there is addon option each reward tier if you would like to receive pairs of strips simply add to your pledge each additional pair you do not to change your reward selection and shipping remains the same
C8,stickers these are normal stickers designed exclusively kickstarter campaign
C6,you will of each design
C6,stick them anywhere you like but please sticker responsibly
C7,if the tie and the glasses do not make any sense check out the project video
C8,mug is a kickstarter exclusive coffee mug that can be used a pencil holder or even a pen holder it is your mug dream big
C10,is a display model with paper graphics
C6,yours will be a real mug with real graphics probably
C6,wear it with confidence and be prepared wonderful things
C6,strip timeline
C6,the strip manufacturing process will begin soon campaign ends and will be complete by early december if all goes you will be beaming with joy by middecember
C10,here i will show you use your phone with one hand okay
C1,yep sorry bob you a slippery phone
C1,i know man lifes hard
C1,what can i do
C1,you could wrap your phone in the skateboard grip tape that works pretty long you never want to put your phone in your pocket
C1,see i kind of like my pockets if you got the money you could hide your beautiful iphone and one of those rubberized cases
C1,only kidding bob i mean who does that right
C1,sounds like i will to used to having a slippery phone
C2,not fast bob introducing strip
C1,finally a solution slippery phones that will not ruin the look and feel of your beautiful mobile device
C9,strip is a pair of small griffey pads engineered with science to improve the handling qualities of your phone without obscuring its natural beauty
C10,strip is designed to give your phone traction in your hand but not in your pocket and strip is super easy to use apply the strip pads like and you are good to go wet dry hot or cold strip holds tight you can too strip
C1,you can hold your phone with confidence and style
C1,thank strip no problem bob nice tie
C10,design
C10,design
C10,feature
C10,design
C10,feature
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,design
C10,feature
C8,merchandise
C8,merchandise
C8,merchandise
C8,press
C5,skybuds are like a swiss army knife all your phone needs wireless earbuds handsfree calls a battery pack smartphone case and a chargingdocking station your earbuds when you are not using them mashable
C5,skybudsthe result of a collaboration between ecco design and alpha audiotronicstakes things a couple steps further delivering great sound by incorporating the earphones into a storage and charging system aimed to seamlessly fit into a users existing behavior core
C5,the kernelshaped buds are waterproof and ergonomically designed to fit snugly and stay put no matter how intense your workout or jam session citylab
C5,skybuds themselves use topoftheline balanced armature speakers passive noise cancellation and psychoacoustic algorithms to give each of your ears access to bestinclass sound whether you are listening to your favorite new track or conference calling with the boss cool material
C10,exploded view of a skybudexploded view of a skybud
C10,technical specifications
C10,earbud body dimensions mm h x mm w x mm l
C10,weight grams
C10,fit style in ear
C10,ultra lightweight water resistant and sweatproof
C10,nanoplated exterior
C10,dual mode bluetooth bluetooth classic adp profile csr aptx audio codec and bluetooth low energy
C10,near field magnetic induction nfmi chip and coil
C10,lithiumion mah battery rechargeable
C10,skybuds presented a unique challenge from a size standpoint
C2,we needed to create earbud that fit comfortably in everyones ear that at the same time was small enough to fit into a smartphone case while minimizing bulk
C10,the design needed to be functional simple and elegant
C2,we began by extensively analyzing ears to figure out the various shapes sizes and fit points
C9,skybuds fit studyskybuds fit study
C10,ergonomic fit was our key parameter and focus
C4,we conducted hundreds of ear size tests and studies and even mapped out many of the ears in d that we could conduct thorough analyses through cad to understand shape
C4,d rendering of a common ear shape and skybuds concept sketchesd rendering of a common ear shape and skybuds concept sketches
C2,after we developed understanding of the ear shape and size we spent months figuring out the most comfortable and secure shape the earbud
C2,we incorporated a significant amount of components into extremely small form factor
C4,after dozens of different id prototypes we found a design that securely and comfortably fits in nearly every ear
C2,some of our iterations the skybuds shape
C2,finally we were able to arrive at a shape that our studies indicated would fit the vast majority of peoples ears
C10,skybuds final industrial designskybuds final industrial design
C10,skybuds fit into your ears differently other earbuds below is a video of how to wear skybuds
C10,exploded view of caseexploded view of case
C10,technical specifications
C10,case dimensions mm h x mm w mm l
C10,case weight oz
C10,fits iphone and iphone s models
C10,lithiumion rechargeable battery mah battery
C10,usb type a female connector
C10,bluetooth low energy frequency response hz
C4,passes drop test and all other mfi requirements
C10,shock resistant
C6,our design objective the case was to minimize size
C2,a design with minimal bulk was imperative if users felt encumbered by our case they would balk at our value proposition
C10,a tapered design unique among phone cases allows the phone to lie naturally flat a table while still providing a thicker portion at one end the earbuds
C2,we spent a significant time studying the angle of the taper that the phone screen was still fully visible when in a resting position a flat surface
C2,we faced the unique challenge of finding a solution in skybuds and the case could seamlessly live together
C3,we carefully studied and tested the most natural way consumers would interact with earbuds and designed a patented minimal bulk case that solves these issues
C9,after numerous ux studies we
C10,determined that the most natural earbud orientation was at the base of the phone studies indicated of users felt was the natural position and
C10,designed a protective enclosure that would provide easy access to the earbuds
C10,each aperture has a reinforcing metal ring to fortify the structure and shield the earbuds during drops
C10,furthermore we incorporated a mechanical pushpush design successfully pops out and locks the earbuds during removalinsertion while still accommodating every finger type e
C2,we reimagined the experience of interacting with your headphones
C4,note the skybud in the ear is a prototype not the final product
C10,from a system architecture standpoint we use a combination of bluetooth classic ble nfmi and electrical contacts to ensure reliable communication throughout our system
C10,earbud earbud communication sending a stereo audio stream to earbuds is not possible using the standard adp profile it is a pointtopoint relay system we implemented a technology called near field magnetic induction
C10,each earbud has a coil the primary earbud modulates a tight lowpower non propagating localized magnetic field is measured by the receiver coil in the other earbud
C10,earbud phone communication we implemented a new finishing technique known selective nanoplating
C9,nanoplating is a coating process that deposits multiplemicron thickness layers of metal onto the exterior surfaces
C9,a nanoplated finish significantly improves the rf performance of the internal bt classic and ble antennas
C2,we wanted to give our consumers the best sound possible we incorporated in each skybud
C10,a balanced armature driver that was bigger the typical ones used in inear earbuds higher spl level and range and a digital mems microphone that picks up sound clearly either microphone use during a call or passive noise cancellation
C4,our team spent eight months architecting developing and building our batch of working prototypes es i
C4,the es i working prototypethe es i working prototype
C2,we found that the antenna performance in es i was not meeting our standards we switched over to nfmi solution when we started developing es ii in july
C4,with help from our odm we locked down a design schematics and layout and begun building es ii results look good and we are excited to receive and test es ii prototypes later autumn
C2,alpha audiotronics inc alpha is a team passionate about conveniently delivering wireless sound
C2,we love music and technology
C2,we like to experience the world with our own personal soundtrack to match our moods and actions are constantly changing
C2,we are constantly the go juggling busy schedules and belongings and wanting things to be faster smoother and streamlined
C1,but the wires physically and literally tying our music and listening experiences were slowing us down and inhibiting our freedom
C2,we want to enhance the listening experience by removing wires our products give customers newfound mobility comfort and access to sound we provide unencumbered audio the way it was meant to be heard wherever whenever
C7,we managed to aggregate enough resources to cover development but we your help in
C2,finalizing and configuring tooling and fixtures
C2,applying certifications and approvals
C2,purchasing materials st mass production build
C2,growing our team
C2,we are launching skybuds kickstarter because we believe in collaborating with our future customers to help us develop a worldclass product
C5,kickstarter allows us to in touch with passionate likeminded forward thinkers who can provide invaluable feedback and suggestions
C7,help us share skybuds with the world using skybuds or freeyoursound
C2,we wanted to create a product that we ourselves want to use every day in developing skybuds we paid attention to the things that people cared about the most
C10,fit signal strength sound quality and battery life
C1,the real problem with wireless headphones is that they always to be charged
C1,charging anything beside your phone a day to day basis is a real inconvinience
C3,but with our patented case whenever you charge your phone you charge your earbuds
C10,it is that simple
C10,there is no to carry around a separate charging or storage device your earbuds
C10,and when you go to sleep at night and you plug in your phone not only do you wake up with a fully charged phone and fully charged earbuds but we added extra battery at the back of the case that provides additional power both of your phone and earbuds throughout the entire day
C10,truly wireless means no wires to tangled no chords to ripped out of your ears
C10,and our smart phone case allows easy place you to put your skybuds in when you are finished using them
C2,we knew that skybuds would to be the perfect companion people with very active lifestyles
C2,yes skybuds are sweat proof and to accommodate small ears like mine and much larger ears like jamies we developed interchangeable bud tips
C9,in order to make sure that skybuds fit everyones ears comfortably and securely we studied tons of records by airsergants and tested d mapped literally hundreds of years
C10,not only are skybuds gone look sharp but they are gone sound great and the connection quality is gone be excellent
C10,we put amazing speakers into both earbuds and use the process called nano bleeding to make sure that all your sound is unerrupted
C10,in terms of battery they last to hours of continuous play but remember soon you put them back in the case will start recharge
C2,we convert four products into one device your truly wireless earbuds your bluetooth headset calling smartphone case extra smartphone battery are all compressed into a single totally convenient solution that charges and stores your earbuds
C2,we living and breathing skybuds the past months but we taken it far we can since we put the best components in skybuds mass production is expensive
C7,help us by supporting skybuds and becoming early advocates of the product
C5,we are super excited to bring skybuds to you the kickstarter community and we hope you love skybuds much we do
C10,feature
C10,feature
C10,feature
C5,partnership
C5,partnership
C1,targetgroup
C1,targetgroup
C10,design
C10,design
C10,design
C10,design
C10,design
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C10,feature
C2,story
C4,test
C4,test
C4,test
C10,design
C10,feature
C10,feature
C3,patent
C10,design
C10,design
C10,design
C10,feature
C10,feature
C5,review
C5,review
C10,feature
C4,testing
C4,testing
C2,story
C2,story
C4,prototype
C10,feature
C6,timeline
C2,team
C2,team
C5,partnership
C8,kickstarter
C7,share
C7,share
C7,share
C7,share
C7,share
C10,learn to code the easy way
C10,wink is arduino based robot designed to help transition students from graphical programming to powerful written code languages
C2,the scratch programming environment has become a popular way to introduce kids to basic programming concepts
C9,eventually students to move to writing actual code
C2,the wink project was born out of collaboration with educators who were looking a robot platform to bridge the simplicity of graphical style programming to real world programming languages like java python c and c
C10,easy adoption by school programs parents
C10,the wink project includes a curriculum that is free and open
C1,kids and grownups can learn at home
C1,after school programs
C1,workshops
C1,core classroom instruction
C1,clubs such girl scouts boy scouts etc
C1,maker space hacker space events
C10,teach the basics at low cost
C10,low cost robot allows students to program common robotic tasks such
C10,line following
C10,light seeking
C10,barrier detection
C10,autonomous roaming
C10,creative experimentation
C10,the robots are small and playful and require minimal storage space between instruction sessions
C2,we carefully considered the parts and sensors wink to enable students to embody the common entry level robotics concepts like line following light seeking and barrier detection
C1,wink will inspire students to experiment their own by writing involved behaviors
C10,written code is easier you think
C1,one of the reasons graphical programming like scratch is great is that it is not intimidating
C1,putting graphical puzzle pieces together that do something is easy concept to understand
C2,we taken a similar approach introducing written code
C10,students will write programs that are no intimidating the puzzle pieces they are used to
C2,we written functions that work similar to those in scratch that are super easy to understand and use
C10,while playing with the wink robot students are learning the foundation of the powerful c programming language is widely used to control the microprocessors used in all manner of robotics embedded systems automation and the growing internet of things iot revolution
C10,lesson plans video series parts
C7,by backing project you can help us finish the rest of our lesson plans
C2,we written several already and we would like to complete a series of about lessons beginning with the super basics and moving through advanced core programming concepts
C6,we will be able to finish the or written lessons
C6,these lessons will be free and open source and published pdf documents
C6,we will be able to film the guide videos the lessons will allow educators who may no programming experience of their own to host student sessions with the wink robot
C6,videos will be posted to online playlist where they can be freely viewed at any time
C6,we will be able to purchase the parts to build future stock of wink robots in larger quantity and at lower cost
C6,will allow us to offer wink to end users and educators at low cost
C10,preview lessons
C2,we published the rough draft of the four lessons below you can a feel the overall flow and style of the additional upcoming lessons
C5,lessons are written we will share them with any educators requesting copies along the way and ask feedback
C10,lesson basics
C10,lesson controlling winks eyes
C10,lesson controlling winks motors
C10,lesson user button and making sound
C10,technical specifics
C10,wink is based the popular arduino uno hardware board
C10,it is programmed using the arduino development environment is free and open source
C10,based arduino wink is based the arduino uno
C10,he has the same atmel atmegap microprocessor
C10,simple bit processor is perfect learning the basics
C10,code is written using the arduino ide is free and open source
C10,works most computers the arduino development environment runs windows mac and most linux computers
C10,fast motors winks motors are fast
C10,at full speed he can zoom across a floor or table in the wink of eye
C10,each motor can be independently driven forward or backward and at any variable speed
C10,rgb eyes winks eyes can be made any color you can think of and controlled individually to give your wink a personality
C10,eye brightness can be carefully controlled
C10,ambient light sensors three light sensors the top side can measure light from directly ahead degrees to either side
C10,the sensors enable light seeking and behaviors activated by lights
C10,barrier headlight infrared barrier headlight is tucked under winks nose
C10,can be used together with the ambient light sensors to detect obstacles several inches in front of the robot
C10,line and edge sensors array of four bottom sensors along winks front bottom allow high speed line following edge detection
C10,button you will learn how to read the user button in your code and change how wink reacts to it
C10,sound a piezo sound element allows simple tone chirps audio feedback and creating alarm behaviors
C10,battery onboard rechargeable mah lipo battery provides hours of run time
C10,charging a complete automatic charging solution is provided right onboard
C10,simply plug wink into the programming adapter and he automatically charges and stops charging when full
C10,a charge in progress led tells you when he is completely charged
C6,schedule
C2,our previous kickstarter ringo ran a bit over schedule
C2,was due to a few delays in custom parts the fact that we had way backers we would ever expected
C2,because the wink robot uses the same parts ringo and we plenty of those parts in stock in our shop we do not expect any delays from availability
C2,the only real lead time item we to order is our circuit boards
C2,we are using the same factory we ordered from many times with reliable time service
C6,to ahead of the time curve we will order the wink circuit boards before the kickstarter is even complete
C2,funds from kickstarter do not arrive until two weeks following the campaign but we can easily accommodate making at least units without these funds
C2,reason we are sure we can be that we are able to manufacture and deliver at least wink units before christmas
C8,delivery to usa backers before christmas is very likely unless something really bad happens
C8,shipping time to international backers can vary by country but international backers in the should still receive their wink units around or shortly following christmas
C8,depending how many backer units we to make additional units will ship throughout december and going into january
C2,meet the team
C2,wink and ringo are manufactured in our own family owned shop located near portland oregon
C2,kevin spends his days thinking up and designing fun stuff
C2,nona handles shipping and admin and juston is the master of the assembly machines
C2,he can solder anything
C2,our two awesome kiddos parker and hailey hang out around the shop once in a while entertaining us all
C2,they are responsible final approval of all of dads designs
C2,sadie not pictured greets the mail man daily begs treats from the ups guy chases flies and flash lights and woofs at anything that moves outside the shop
